Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame	Comments
CAMK2A	0	MSKCC-DMP	P-0013271-T01-IM5	CAMK2A-PDGFRB fusion	yes	unknown		in frame	PDGFRB (NM_002609) - CAMK2A (NM_015981)  rearrangement: c.1579+9:PDGFRB_c.157+1527:CAMK2Adup Note: The PDGFRB - CAMK2A rearrangement is a duplication that results in the fusion of PDGFRB exons 1-10 with CAMK2A exons 3 - 19. The functional significance is undetermined.
NAP1L2	0	MSKCC-DMP	P-0012153-T01-IM5	ATRX-NAP1L2 fusion	yes	unknown		unknown	ATRX (NM_000489) rearrangement: chrX:g.72499356_c.5226inv Note: The ATRX rearrangement is an inversion of exons 20-35. One of the breakpoints is within exon  20.
ATRX	0	MSKCC-DMP	P-0012153-T01-IM5	ATRX-NAP1L2 fusion	yes	unknown		unknown	ATRX (NM_000489) rearrangement: chrX:g.72499356_c.5226inv Note: The ATRX rearrangement is an inversion of exons 20-35. One of the breakpoints is within exon  20.
CDKN2A	0	MSKCC-DMP	P-0010948-T01-IM5	CDKN2BAS-CDKN2A fusion	yes	unknown		unknown	CDKN2Ap14ARF (NM_058195) rearrangement : c.194-3397_chr9:g.22028649del CDKN2Ap16INK4A (NM_000077) rearrangement : c.150+73_chr9:g.22028649del Note: The CDKN2Ap14ARF and CDKN2Ap16INK4A rearrangements are a single event affecting two isoforms of CDKN2A gene. The rearrangement results in the deletion of CDKN2Ap14ARF exon1 and CDKN2Ap16INK4A exon1.
CDKN2BAS	0	MSKCC-DMP	P-0010948-T01-IM5	CDKN2BAS-CDKN2A fusion	yes	unknown		unknown	CDKN2Ap14ARF (NM_058195) rearrangement : c.194-3397_chr9:g.22028649del CDKN2Ap16INK4A (NM_000077) rearrangement : c.150+73_chr9:g.22028649del Note: The CDKN2Ap14ARF and CDKN2Ap16INK4A rearrangements are a single event affecting two isoforms of CDKN2A gene. The rearrangement results in the deletion of CDKN2Ap14ARF exon1 and CDKN2Ap16INK4A exon1.
TMPRSS2	0	MSKCC-DMP	P-0014395-T01-IM6	ARHGAP26-TMPRSS2 fusion	yes	unknown		in frame	TMPRSS2 (NM_001135099) - ARHGAP26 (NM_015071) fusion (TMPRSS2 exons 1-2 fused in-frame to ARHGAP26 exons 12-23): t(5;21)(q31.3;q22.3)(chr5:g.142324441::chr21:g.42868024)
ARHGAP26	0	MSKCC-DMP	P-0014395-T01-IM6	ARHGAP26-TMPRSS2 fusion	yes	unknown		in frame	TMPRSS2 (NM_001135099) - ARHGAP26 (NM_015071) fusion (TMPRSS2 exons 1-2 fused in-frame to ARHGAP26 exons 12-23): t(5;21)(q31.3;q22.3)(chr5:g.142324441::chr21:g.42868024)
SMARCA4	0	MSKCC-DMP	P-0012909-T01-IM5	SMARCA4-intragenic	yes	unknown		unknown	SMARCA4 (NM_003072) Rearrangement : c.4301_4424+659del Note: The SMARCA4 Rearrangement results in the intragenic deletion of exon 30 of SMARCA4. Its functional significance is undetermined.
SMARCA4	0	MSKCC-DMP	P-0012596-T01-IM5	SMARCA4-intragenic	yes	unknown		unknown	SMARCA4 (NM_003072) rearrangement: c.3547-184_c.3804dup Note: The SMARCA4 rearrangement is an intragenic duplication of exons 26-27. One of the breakpoints is within exon 27.
MGA	0	MSKCC-DMP	P-0012623-T01-IM5	CACNA1B-MGA fusion	yes	unknown		out of frame	CACNA1B (NM_000718) - MGA (NM_001164273) Rearrangement : t(9;15)(q22.3;p11.1)(chr9:g.140896610::chr15:g.42041234) Note: The CACNA1B - MGA Rearrangement results in the fusion of exons 1-15 of CACNA1B with exons 16-24 of MGA.Its functional significance is undetermined.
CACNA1B	0	MSKCC-DMP	P-0012623-T01-IM5	CACNA1B-MGA fusion	yes	unknown		out of frame	CACNA1B (NM_000718) - MGA (NM_001164273) Rearrangement : t(9;15)(q22.3;p11.1)(chr9:g.140896610::chr15:g.42041234) Note: The CACNA1B - MGA Rearrangement results in the fusion of exons 1-15 of CACNA1B with exons 16-24 of MGA.Its functional significance is undetermined.
GFRA2	0	MSKCC-DMP	P-0011259-T01-IM5	EIF4E-GFRA2 fusion	yes	unknown		unknown	EIF4E (NM_001130678) Rearrangement : t(4;8)(q23;p21.3)(chr4:g.99849955::chr8:g.21254285) Note: The EIF4E Rearrangement is a translocation event which results in the possible truncation of exon1 of EIF4E. Its functional significance is undetermined.
EIF4E	0	MSKCC-DMP	P-0011259-T01-IM5	EIF4E-GFRA2 fusion	yes	unknown		unknown	EIF4E (NM_001130678) Rearrangement : t(4;8)(q23;p21.3)(chr4:g.99849955::chr8:g.21254285) Note: The EIF4E Rearrangement is a translocation event which results in the possible truncation of exon1 of EIF4E. Its functional significance is undetermined.
AKT2	0	MSKCC-DMP	P-0014631-T01-IM6	LTBP4-AKT2 fusion	yes	unknown		unknown	AKT2 (NM_001626)  rearrangement: c.752:AKT2_c.4032+747:LTBP4del Note: The AKT2 rearrangement is a deletion which includes exons 1-9 of AKT2. One of the breakpoints is within exon9. The functional significance is undetermined.
LTBP4	0	MSKCC-DMP	P-0014631-T01-IM6	LTBP4-AKT2 fusion	yes	unknown		unknown	AKT2 (NM_001626)  rearrangement: c.752:AKT2_c.4032+747:LTBP4del Note: The AKT2 rearrangement is a deletion which includes exons 1-9 of AKT2. One of the breakpoints is within exon9. The functional significance is undetermined.
ATM	0	MSKCC-DMP	P-0013660-T01-IM5	NCAM1-ATM fusion	yes	unknown		unknown	ATM (NM_000051) Rearrangement : c.8162_chr11:g.112801427del Note: The ATM Rearrangement results in the deletion of exons 56 -63 of ATM. The breakpoint in ATM is within exon 56. Its functional significance is undetermined.
NCAM1	0	MSKCC-DMP	P-0013660-T01-IM5	NCAM1-ATM fusion	yes	unknown		unknown	ATM (NM_000051) Rearrangement : c.8162_chr11:g.112801427del Note: The ATM Rearrangement results in the deletion of exons 56 -63 of ATM. The breakpoint in ATM is within exon 56. Its functional significance is undetermined.
KDR	0	MSKCC-DMP	P-0013443-T01-IM5	SRD5A3-KDR fusion	yes	unknown		unknown	KDR (NM_002253) rearrangement: c.2510-129:KDR_chr4:g.56104211del Note: The KDR rearrangement is a deletion of 5UTR and exons 1-17.
SRD5A3	0	MSKCC-DMP	P-0013443-T01-IM5	SRD5A3-KDR fusion	yes	unknown		unknown	KDR (NM_002253) rearrangement: c.2510-129:KDR_chr4:g.56104211del Note: The KDR rearrangement is a deletion of 5UTR and exons 1-17.
PIK3C2G	0	MSKCC-DMP	P-0011135-T01-IM5	PIK3C2G-intragenic	yes	unknown		unknown	PIK3C2G (NM_004570) rearrangement : c.3889-80_3965-4589inv Note: The PIK3C2G rearrangement event results in the inversion of PIK3C2G exon29.
ERG	0	MSKCC-DMP	P-0014414-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		out of frame	ERG (NM_004449) - TMPRRS2 (NM_001135099) rearrangement: c.39+51460:ERG_c.56-2388:TMPRRS2dup Note: The ERG - TMPRSS2 rearrangement is a duplication which results in the fusion of ERG exon 3 to TMPRSS2 exon 2.  The functional significance is undetermined. Although this rearrangement does not result in a TMPRSS2 - ERG fusion, a more complex rearrangement that results in a TMPRSS2 - ERG fusion is possible.
TMPRSS2	0	MSKCC-DMP	P-0014414-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		out of frame	ERG (NM_004449) - TMPRRS2 (NM_001135099) rearrangement: c.39+51460:ERG_c.56-2388:TMPRRS2dup Note: The ERG - TMPRSS2 rearrangement is a duplication which results in the fusion of ERG exon 3 to TMPRSS2 exon 2.  The functional significance is undetermined. Although this rearrangement does not result in a TMPRSS2 - ERG fusion, a more complex rearrangement that results in a TMPRSS2 - ERG fusion is possible.
CBX6	0	MSKCC-DMP	P-0014077-T01-IM5	EP300-CBX6 fusion	yes	unknown		unknown	EP300 (NM_001429) rearrangement: chr22:g.39268126_c.1380:EP300del Note: The EP300 rearrangement is a deletion of 5UTR and exons 1-6. One of the breakpoints is within exon 6.
EP300	0	MSKCC-DMP	P-0014077-T01-IM5	EP300-CBX6 fusion	yes	unknown		unknown	EP300 (NM_001429) rearrangement: chr22:g.39268126_c.1380:EP300del Note: The EP300 rearrangement is a deletion of 5UTR and exons 1-6. One of the breakpoints is within exon 6.
NEDD8	0	MSKCC-DMP	P-0014732-T01-IM6	BAP1-NEDD8 fusion	yes	unknown		unknown	NEDD8 (NM_001199823) - BAP1 (NM_004656) rearrangement: t(3;14)(p21.1;q12)(chr3:g.52444003::chr14:g.24689227) Note: The NEDD8 - BAP1 rearrangement is a translocation which results in the fusion of NEDD8 exon 1 to the 5UTR of BAP1. The functional significance is undetermined.
BAP1	0	MSKCC-DMP	P-0014732-T01-IM6	BAP1-NEDD8 fusion	yes	unknown		unknown	NEDD8 (NM_001199823) - BAP1 (NM_004656) rearrangement: t(3;14)(p21.1;q12)(chr3:g.52444003::chr14:g.24689227) Note: The NEDD8 - BAP1 rearrangement is a translocation which results in the fusion of NEDD8 exon 1 to the 5UTR of BAP1. The functional significance is undetermined.
DOK6	0	MSKCC-DMP	P-0014732-T01-IM6	PBRM1-DOK6 fusion	yes	unknown		unknown	DOK6 (NM_152721) - PBRM1 (NM_018313) rearrangement: t(3;18)(p21.1;q22.2)(chr3:g.52692284::chr18:g.67099152) Note: The DOK6 - PBRM1 rearrangement is a translocation which results in the fusion of DOK6 exon 1 to PBRM1 exon 6. One of the breakpoints is within exon 6 of PBRM1. The functional significance is undetermined.
PBRM1	0	MSKCC-DMP	P-0014732-T01-IM6	PBRM1-DOK6 fusion	yes	unknown		unknown	DOK6 (NM_152721) - PBRM1 (NM_018313) rearrangement: t(3;18)(p21.1;q22.2)(chr3:g.52692284::chr18:g.67099152) Note: The DOK6 - PBRM1 rearrangement is a translocation which results in the fusion of DOK6 exon 1 to PBRM1 exon 6. One of the breakpoints is within exon 6 of PBRM1. The functional significance is undetermined.
CDCP1	0	MSKCC-DMP	P-0014732-T01-IM6	PIK3CB-CDCP1 fusion	yes	unknown		unknown	PIK3CB (NM_006219) rearrangement: chr3:g.45114508_c.1581+9del Note: The PIK3CB rearrangement is a deletion which includes exons 11-22. The functional significance is undetermined.
PIK3CB	0	MSKCC-DMP	P-0014732-T01-IM6	PIK3CB-CDCP1 fusion	yes	unknown		unknown	PIK3CB (NM_006219) rearrangement: chr3:g.45114508_c.1581+9del Note: The PIK3CB rearrangement is a deletion which includes exons 11-22. The functional significance is undetermined.
ROS1	0	MSKCC-DMP	P-0013451-T01-IM5	STX7-ROS1 fusion	yes	unknown		out of frame	STX7 (NM_003569) - ROS1 (NM_002944) rearrangement: c.86-3411:STX7_c.5366+1036:ROS1del Note: The STX7 - ROS1 rearrangement is a deletion that results in the fusion of STX7 exons 1-2 with ROS1 exons 33-43, which include the kinase domain.
STX7	0	MSKCC-DMP	P-0013451-T01-IM5	STX7-ROS1 fusion	yes	unknown		out of frame	STX7 (NM_003569) - ROS1 (NM_002944) rearrangement: c.86-3411:STX7_c.5366+1036:ROS1del Note: The STX7 - ROS1 rearrangement is a deletion that results in the fusion of STX7 exons 1-2 with ROS1 exons 33-43, which include the kinase domain.
STK11	0	MSKCC-DMP	P-0010320-T01-IM5	STK11-intragenic	yes	unknown		out of frame	STK11 (NM_000455) Rearrangement :  c.465-98_1108+1298dup Note: The STK11 Rearrangement results in the intragenic duplication of exons 4-8 of STK11. Its functional significance is undetermined.
CTCF	0	MSKCC-DMP	P-0013182-T01-IM5	CTCF-intragenic	yes	unknown		unknown	CTCF (NM_006565) rearrangement: c.953-1108_c.1157dup Note: The CTCF rearrangement is a duplication of exons 5-6. One of the breakpoints is within exon 6. The functional significance is undetermined.
EWSR1	0	MSKCC-DMP	P-0010994-T01-IM5	MTMR3-EWSR1 fusion	yes	unknown		unknown	MTMR3 (NM_021090) - EWSR1 (NM_013986) rearrangement: c.-85+3820:MTMR3_c.992+1294:EWSR1dup Note: The MTMR3 - EWSR1 rearrangement is a duplication that results in fusion of 5-UTR of MTMR3 with EWSR1 exons 9-18. The functional significance is undetermined.
MTMR3	0	MSKCC-DMP	P-0010994-T01-IM5	MTMR3-EWSR1 fusion	yes	unknown		unknown	MTMR3 (NM_021090) - EWSR1 (NM_013986) rearrangement: c.-85+3820:MTMR3_c.992+1294:EWSR1dup Note: The MTMR3 - EWSR1 rearrangement is a duplication that results in fusion of 5-UTR of MTMR3 with EWSR1 exons 9-18. The functional significance is undetermined.
ERG	0	MSKCC-DMP	P-0014992-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		out of frame	TMPRSS2 (NM_001135099) -ERG (NM_182918) Fusion (TMPRSS2 exon 1 fused with ERG exons 2-10) : c.55+2429:TMPRSS2_c.18+5301:ERGdel
TMPRSS2	0	MSKCC-DMP	P-0014992-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		out of frame	TMPRSS2 (NM_001135099) -ERG (NM_182918) Fusion (TMPRSS2 exon 1 fused with ERG exons 2-10) : c.55+2429:TMPRSS2_c.18+5301:ERGdel
CTNNB1	0	MSKCC-DMP	P-0014460-T01-IM6	FAM198A-CTNNB1 fusion	yes	unknown		unknown	CTNNB1 (NM_001904) Rearrangement : c.1082-37:CTNNB1_c.4-17540:FAM198inv Note: The CTNNB1 Rearrangement results in the inversion of exons 8-15 of CTNNB1. Its functional significance is undetermined.
FAM198A	0	MSKCC-DMP	P-0014460-T01-IM6	FAM198A-CTNNB1 fusion	yes	unknown		unknown	CTNNB1 (NM_001904) Rearrangement : c.1082-37:CTNNB1_c.4-17540:FAM198inv Note: The CTNNB1 Rearrangement results in the inversion of exons 8-15 of CTNNB1. Its functional significance is undetermined.
SMARCA4	0	MSKCC-DMP	P-0011343-T01-IM5	SMARCA4-intragenic	yes	unknown		unknown	SMARCA4 (NM_003072) rearrangement: c.1708_c.1813-1667dup Note: The SMARCA4 rearrangement is an intragenic duplication of exons 9-10. One of the breakpoint is within exon 9.
RAD21	0	MSKCC-DMP	P-0011343-T01-IM5	RAD21-intragenic	yes	unknown		unknown	RAD21 (NM_006265) rearrangement: c.374+128_c.812dup Note: The RAD21 rearrangement is an intragenic duplication of exons 5-7. One of the breakpoints is within exon 7.
CNTN1	0	MSKCC-DMP	P-0011542-T01-IM5	MLL2-CNTN1 fusion	yes	unknown		out of frame	MLL2 (NM_003482) - CNTN1 (NM_001843) rearrangement: c.5320-13:MLL2_c.2113+2294:CNTN1inv Note: The MLL2 - CNTN1 rearrangement is an inversion that results int the fusion of MLL2 exons 1-22 with CNTN1 exons 18-24. The functional significance is undetermined.
MLL2	0	MSKCC-DMP	P-0011542-T01-IM5	MLL2-CNTN1 fusion	yes	unknown		out of frame	MLL2 (NM_003482) - CNTN1 (NM_001843) rearrangement: c.5320-13:MLL2_c.2113+2294:CNTN1inv Note: The MLL2 - CNTN1 rearrangement is an inversion that results int the fusion of MLL2 exons 1-22 with CNTN1 exons 18-24. The functional significance is undetermined.
PTEN	0	MSKCC-DMP	P-0012731-T01-IM5	PTEN-intragenic	yes	unknown		unknown	PTEN (NM_000314) rearrangement: c.278_c.492+4373del Note: The PTEN rearrangement is an intragenic deletion of exon 5. One of the breakpoints is within exon 5. The functional significance is undetermined.
AKAP11	0	MSKCC-DMP	P-0013277-T01-IM5	FH-AKAP11 fusion	yes	unknown		unknown	FH (NM_000143) rearrangement: t(1;13)(q43;q14.11)(chr1:g.241665743::chr13:g.42830282) Note: The FH rearrangement is a translocation with a breakpoint within exon 8. While this event does not appear to produce a functional gene fusion, we cannot exclude the possibility of a more complex genomic rearrangement that leads to a fusion.
FH	0	MSKCC-DMP	P-0013277-T01-IM5	FH-AKAP11 fusion	yes	unknown		unknown	FH (NM_000143) rearrangement: t(1;13)(q43;q14.11)(chr1:g.241665743::chr13:g.42830282) Note: The FH rearrangement is a translocation with a breakpoint within exon 8. While this event does not appear to produce a functional gene fusion, we cannot exclude the possibility of a more complex genomic rearrangement that leads to a fusion.
NUP35	0	MSKCC-DMP	P-0012513-T01-IM5	PMS1-NUP35 fusion	yes	unknown		unknown	PMS1 (NM_000534) rearrangement: chr2:g.183973880_c.668:PMS1del Note: The PMS1 rearrangement is an inversion of exons 1-6. One of the breakpoints is within exon 6 of PMS1. The functional significance is undetermined.
PMS1	0	MSKCC-DMP	P-0012513-T01-IM5	PMS1-NUP35 fusion	yes	unknown		unknown	PMS1 (NM_000534) rearrangement: chr2:g.183973880_c.668:PMS1del Note: The PMS1 rearrangement is an inversion of exons 1-6. One of the breakpoints is within exon 6 of PMS1. The functional significance is undetermined.
PRMT8	0	MSKCC-DMP	P-0010742-T01-IM5	APC-PRMT8 fusion	yes	unknown		unknown	APC (NM_000038) - PRMT8 (NM_019854) rearrangement : t(5;12)(q22.2;p12.32)(chr5:g.112175904::chr12:g.3608058) Note: The APC-PRMT8 rearrangement is a translocation which results in the fusion of APC exons 1-16 with PRMT8 exon1. One of the breakpoints is within APC exon16. This fusion could also be interpreted as a truncation of APC gene at exon16.
APC	0	MSKCC-DMP	P-0010742-T01-IM5	APC-PRMT8 fusion	yes	unknown		unknown	APC (NM_000038) - PRMT8 (NM_019854) rearrangement : t(5;12)(q22.2;p12.32)(chr5:g.112175904::chr12:g.3608058) Note: The APC-PRMT8 rearrangement is a translocation which results in the fusion of APC exons 1-16 with PRMT8 exon1. One of the breakpoints is within APC exon16. This fusion could also be interpreted as a truncation of APC gene at exon16.
TP53	0	MSKCC-DMP	P-0012925-T01-IM5	TP53-intragenic	yes	unknown		unknown	TP53 (NM_000546) rearrangement: c.-28-1687_c.207del Note: The TP53 rearrangement is a deletion of 5UTR and exons 1-4. One of the breakpoints is within exon 4.
APC	0	MSKCC-DMP	P-0011350-T01-IM5	REEP5-APC fusion	yes	unknown		unknown	APC (NM_000038) rearrangement: c.1743+2749:APC_chr5:g.112213830inv Note: The APC rearrangement is an inversion of exons 15-16.
REEP5	0	MSKCC-DMP	P-0011350-T01-IM5	REEP5-APC fusion	yes	unknown		unknown	APC (NM_000038) rearrangement: c.1743+2749:APC_chr5:g.112213830inv Note: The APC rearrangement is an inversion of exons 15-16.
ERG	0	MSKCC-DMP	P-0014202-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		in frame	TMPRSS2 (NM_001135099) - ERG (NM_182918) fusion (TMPRSS2 exons 1-2 fused in-frame to ERG exons 2-10): c.126+456:TMPRSS2_c.18+59:ERGdel
TMPRSS2	0	MSKCC-DMP	P-0014202-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		in frame	TMPRSS2 (NM_001135099) - ERG (NM_182918) fusion (TMPRSS2 exons 1-2 fused in-frame to ERG exons 2-10): c.126+456:TMPRSS2_c.18+59:ERGdel
DNMT1	0	MSKCC-DMP	P-0010789-T01-IM5	DNMT1-intragenic	yes	unknown		unknown	DNMT1 (NM_001379) rearrangement : c.72_1232+762dup Note: The DNMT1 rearrangement event results in the intragenic duplication of DNMT1 exons 1-16. One of the breakpoints is within DNMT1 exon1.
AR	0	MSKCC-DMP	P-0003101-T03-IM5	AR-intragenic	yes	unknown		unknown	AR (NM_000044) rearrangement: c.2182_c.*970del Note: The AR rearrangement is an intragenic deletion of exons 5-8. One of the breakpoints is within exon 5. This structural alteration may represent a possible splicing variant (AR-V7), with the loss of ligand binding domain of androgen receptor. The AR-V7 isoform is constitutively active in transcription, irrespective of androgen binding. It may represent a way of cancer escaping androgen deprivation therapy and has been reported to be associated with resistence to enzalutamide or abiraterone (see references). References: 1. Antonarakis ES, Lu C, Wang H, Luber B, Nakazawa M, Roeser JC, et al. AR-V7 and resistance to enzalutamide and abiraterone in prostate cancer. N Engl J Med. 2014 Sep 11;371(11):1028-38. PMID: 25184630; PubMed Central PMCID: PMC4201502. 2. Ciccarese C, Santoni M, Brunelli M, Buti S, Modena A, Nabissi M, et al. AR-V7 and prostate cancer: The watershed for treatment selection? Cancer Treat Rev. 2016 Feb;43:27-35. PMID: 26827690.
TPPP	0	MSKCC-DMP	P-0011157-T01-IM5	TERT-TPPP fusion	yes	unknown		unknown	TERT (NM_198253) rearrangement: c.1573+12:TERT_chr5:g.682643del Note: The TERT rearrangement is an intragenic deletion of exons 3-16. The functional significance is undetermined.
TERT	0	MSKCC-DMP	P-0011157-T01-IM5	TERT-TPPP fusion	yes	unknown		unknown	TERT (NM_198253) rearrangement: c.1573+12:TERT_chr5:g.682643del Note: The TERT rearrangement is an intragenic deletion of exons 3-16. The functional significance is undetermined.
B2M	0	MSKCC-DMP	P-0012779-T01-IM5	B2M-intragenic	yes	unknown		unknown	B2M (NM_004048) rearrangement: c.67_c.68-1del Note: The B2M rearrangement is an intragenic deletion of a part of exon 1, including the splice site. One of the breakpoints is within exon 1.
ERG	0	MSKCC-DMP	P-0012555-T01-IM5	TMPRSS2-ERG fusion	yes	unknown		out of frame	TMPRSS2 (NM_001135099) - ERG (NM_182918) fusion: c.55+4576:TMPRSS2_c.-4791:ERGdel
TMPRSS2	0	MSKCC-DMP	P-0012555-T01-IM5	TMPRSS2-ERG fusion	yes	unknown		out of frame	TMPRSS2 (NM_001135099) - ERG (NM_182918) fusion: c.55+4576:TMPRSS2_c.-4791:ERGdel
SPEN	0	MSKCC-DMP	P-0013526-T01-IM5	EPHA2-SPEN fusion	yes	unknown		unknown	SPEN (NM_015001) Rearrangement : c.6934:SPEN_c.153+110:EPHA2 Note: The SPEN Rearrangement results in the duplication of exons 11-15. One of the breakpoints is within exon 11. Its functional significance is undetermined.
